,country_send,country_receive,company_name,ticket_size,timestamp,fx_rate_3,service_fee
0,BHD,INR,Western Union,200.000,2024-06-22 06:11:53,221.6777,1.500
1,BHD,INR,Western Union,400.000,2024-06-22 06:12:22,221.6777,1.500
2,BHD,INR,Western Union,"2,000.000",2024-06-22 06:12:49,221.6777,1.500
3,AUD,INR,Western Union,700.00,2024-06-22 06:11:53,55.8251,0.00
4,AUD,INR,Western Union,"1,500.00",2024-06-22 06:12:22,55.8251,0.00
5,AUD,INR,Western Union,"7,500.00",2024-06-22 06:12:51,55.4921,0.00
6,AUD,PHP,Western Union,700.00,2024-06-22 06:11:56,40.1896,0.00
7,AUD,PHP,Western Union,"1,500.00",2024-06-22 06:12:26,40.1896,0.00
8,AUD,PHP,Western Union,"7,500.00",2024-06-22 06:12:53,39.0797,0.00
9,AUD,VND,Western Union,700.00,2024-06-22 06:11:54,"17,136.7300",0.00
10,AUD,VND,Western Union,"1,500.00",2024-06-22 06:12:25,"17,136.7300",0.00
11,AUD,VND,Western Union,"7,500.00",2024-06-22 06:12:55,"16,900.1290",0.00
12,AUD,CNY,Western Union,700.00,2024-06-22 06:11:56,4.8012,0.00
13,AUD,CNY,Western Union,"1,500.00",2024-06-22 06:12:26,4.8108,0.00
14,AUD,CNY,Western Union,"7,500.00",2024-06-22 06:12:55,4.8108,0.00
15,BHD,BDT,Western Union,200.000,2024-06-22 06:13:15,311.3972,1.000
16,BHD,BDT,Western Union,400.000,2024-06-22 06:13:37,311.3972,1.500
17,BHD,BDT,Western Union,"2,000.000",2024-06-22 06:14:05,311.3972,3.000
18,HKD,CNY,Western Union,"4,000.00",2024-06-22 06:13:24,0.9182,5.00
19,HKD,CNY,Western Union,"8,000.00",2024-06-22 06:13:49,0.9182,5.00
20,HKD,CNY,Western Union,"40,000.00",2024-06-22 06:14:15,0.9182,5.00
21,JPY,CNY,Western Union,"80,000.00",2024-06-22 06:13:27,0.0454,880.00
22,JPY,CNY,Western Union,"150,000.00",2024-06-22 06:13:50,0.0454,880.00
23,JPY,CNY,Western Union,"750,000.00",2024-06-22 06:14:16,0.0454,"1,480.00"
24,JPY,VND,Western Union,"80,000.00",2024-06-22 06:13:27,157.9011,880.00
25,JPY,VND,Western Union,"150,000.00",2024-06-22 06:13:52,157.9011,880.00
26,JPY,VND,Western Union,"750,000.00",2024-06-22 06:14:18,157.9011,"1,480.00"
27,JPY,PHP,Western Union,"80,000.00",2024-06-22 06:13:26,0.3681,0.00
28,JPY,PHP,Western Union,"150,000.00",2024-06-22 06:13:52,0.3681,0.00
29,JPY,PHP,Western Union,"750,000.00",2024-06-22 06:14:18,0.3681,0.00
30,MYR,INR,Western Union,"2,500.00",2024-06-22 06:14:26,17.7267,0.00
31,MYR,INR,Western Union,"5,000.00",2024-06-22 06:14:56,17.7267,0.00
32,MYR,INR,Western Union,"25,000.00",2024-06-22 06:15:28,,0.00
33,MYR,BDT,Western Union,"2,500.00",2024-06-22 06:14:49,25.0201,10.00
34,MYR,BDT,Western Union,"5,000.00",2024-06-22 06:15:14,25.0201,10.00
35,MYR,BDT,Western Union,"25,000.00",2024-06-22 06:15:34,25.0201,10.00
36,MYR,VND,Western Union,"2,500.00",2024-06-22 06:14:52,"5,366.2717",5.00
37,MYR,VND,Western Union,"5,000.00",2024-06-22 06:15:19,"5,366.2717",5.00
38,MYR,VND,Western Union,"25,000.00",2024-06-22 06:15:43,"5,366.2717",5.00
39,MYR,PHP,Western Union,"2,500.00",2024-06-22 06:14:50,12.4838,0.00
40,MYR,PHP,Western Union,"5,000.00",2024-06-22 06:15:17,12.4838,0.00
41,MYR,PHP,Western Union,"25,000.00",2024-06-22 06:15:42,12.4838,0.00
42,QAR,INR,Western Union,"1,500.00",2024-06-22 06:14:49,22.8279,20.00
43,QAR,INR,Western Union,"3,000.00",2024-06-22 06:15:21,22.8279,20.00
44,QAR,INR,Western Union,"15,000.00",2024-06-22 06:15:49,22.8279,20.00
45,QAR,BDT,Western Union,"1,500.00",2024-06-22 06:15:55,32.2280,20.00
46,QAR,BDT,Western Union,"3,000.00",2024-06-22 06:16:19,32.2280,20.00
47,QAR,BDT,Western Union,"15,000.00",2024-06-22 06:16:41,32.2280,20.00
48,QAR,PHP,Western Union,"1,500.00",2024-06-22 06:16:00,16.0440,20.00
49,QAR,PHP,Western Union,"3,000.00",2024-06-22 06:16:24,16.0440,20.00
50,QAR,PHP,Western Union,"15,000.00",2024-06-22 06:16:47,16.0440,20.00
51,SAR,BDT,Western Union,"2,000.00",2024-06-22 06:16:07,31.2523,15.00
52,SAR,BDT,Western Union,"4,000.00",2024-06-22 06:16:29,31.2523,15.00
53,SAR,BDT,Western Union,"20,000.00",2024-06-22 06:16:50,31.2523,15.00
54,SAR,INR,Western Union,"2,000.00",2024-06-22 06:16:07,21.9646,0.00
55,SAR,INR,Western Union,"4,000.00",2024-06-22 06:16:29,21.9646,0.00
56,SAR,INR,Western Union,"20,000.00",2024-06-22 06:16:52,21.9646,0.00
57,SAR,PHP,Western Union,"2,000.00",2024-06-22 06:16:12,15.5782,0.00
58,SAR,PHP,Western Union,"4,000.00",2024-06-22 06:16:33,15.5782,0.00
59,SAR,PHP,Western Union,"20,000.00",2024-06-22 06:16:53,15.5782,0.00
60,SGD,INR,Western Union,500.00,2024-06-22 06:16:57,61.7217,0.00
61,SGD,INR,Western Union,"1,000.00",2024-06-22 06:17:25,61.7217,0.00
62,SGD,INR,Western Union,"5,000.00",2024-06-22 06:17:50,61.5862,0.00
63,SGD,CNY,Western Union,500.00,2024-06-22 06:17:06,5.3911,0.00
64,SGD,CNY,Western Union,"1,000.00",2024-06-22 06:17:29,5.3911,0.00
65,SGD,CNY,Western Union,"5,000.00",2024-06-22 06:17:54,5.3504,0.00
66,AED,INR,Western Union,"2,000.00",2024-06-22 06:17:24,22.6619,15.00
67,AED,INR,Western Union,"4,000.00",2024-06-22 06:17:55,22.6619,15.00
68,AED,INR,Western Union,"20,000.00",2024-06-22 06:18:24,22.7074,15.00
69,AED,PHP,Western Union,"2,000.00",2024-06-22 06:17:29,15.9914,15.00
70,AED,PHP,Western Union,"4,000.00",2024-06-22 06:18:02,15.9914,15.00
71,AED,PHP,Western Union,"20,000.00",2024-06-22 06:18:32,15.9914,15.00
72,AED,BDT,Western Union,"2,000.00",2024-06-22 06:17:28,32.2111,15.00
73,AED,BDT,Western Union,"4,000.00",2024-06-22 06:18:02,32.2111,15.00
74,AED,BDT,Western Union,"20,000.00",2024-06-22 06:18:32,32.2111,15.00
75,GBP,PHP,Western Union,500.00,2024-06-22 06:18:19,75.1738,0.00
76,GBP,PHP,Western Union,"1,000.00",2024-06-22 06:18:33,75.1738,0.00
77,GBP,PHP,Western Union,"5,000.00",2024-06-22 06:18:55,74.3044,0.00
78,GBP,BDT,Western Union,500.00,2024-06-22 06:18:08,149.6694,0.00
79,GBP,BDT,Western Union,"1,000.00",2024-06-22 06:18:26,149.6694,0.00
80,GBP,BDT,Western Union,"5,000.00",2024-06-22 06:18:54,149.6694,0.00
81,GBP,CNY,Western Union,500.00,2024-06-22 06:18:42,9.0546,0.00
82,GBP,CNY,Western Union,"1,000.00",2024-06-22 06:19:02,9.0546,0.00
83,GBP,CNY,Western Union,"5,000.00",2024-06-22 06:19:28,9.0546,0.00
84,GBP,VND,Western Union,500.00,2024-06-22 06:18:59,"31,837.5249",0.00
85,GBP,VND,Western Union,"1,000.00",2024-06-22 06:19:25,"31,837.5249",0.00
86,GBP,VND,Western Union,"4,000.00",2024-06-22 06:19:50,"31,837.5249",0.00
87,USD,INR,Western Union,500.00,2024-06-22 06:19:04,83.1546,0.99
88,USD,INR,Western Union,"1,000.00",2024-06-22 06:19:35,83.1546,0.99
89,USD,INR,Western Union,"5,000.00",2024-06-22 06:20:10,83.1546,0.99
90,USD,BDT,Western Union,500.00,2024-06-22 06:19:32,117.3645,0.99
91,USD,BDT,Western Union,"1,000.00",2024-06-22 06:20:07,117.3645,0.99
92,USD,BDT,Western Union,"5,000.00",2024-06-22 06:20:42,117.3645,0.99
93,USD,PHP,Western Union,500.00,2024-06-22 06:19:32,57.7426,0.99
94,USD,PHP,Western Union,"1,000.00",2024-06-22 06:20:06,57.7426,0.99
95,USD,PHP,Western Union,"5,000.00",2024-06-22 06:20:42,57.7426,0.99
96,USD,CNY,Western Union,500.00,2024-06-22 06:20:09,7.0935,1.99
97,USD,CNY,Western Union,"1,000.00",2024-06-22 06:20:47,7.0935,1.99
98,USD,CNY,Western Union,"5,000.00",2024-06-22 06:21:06,7.0935,1.99
99,GBP,INR,Western Union,500.00,2024-06-22 06:20:42,106.5443,0.00
100,GBP,INR,Western Union,"1,000.00",2024-06-22 06:21:00,106.5443,0.00
101,GBP,INR,Western Union,"5,000.00",2024-06-22 06:21:15,105.5103,0.00
102,USD,VND,Western Union,500.00,2024-06-22 06:20:29,"25,095.6720",0.99
103,USD,VND,Western Union,"1,000.00",2024-06-22 06:20:54,"25,095.6720",0.99
104,USD,VND,Western Union,"5,000.00",2024-06-22 06:21:20,,"5,000.00"
